Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,POR,NBA,PF,43,0,6.7,1.3,2.7,.474,0.0,0.0,,1.3,2.7,.474,.474,0.6,1.0,.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1
1991-92,23,POR,NBA,PF,71,1,13.2,2.5,5.1,.493,0.0,0.0,,2.5,5.1,.493,.493,1.1,1.4,.752,1.1,2.5,3.7,0.4,0.4,0.2,0.9,1.9,6.1
1992-93,24,TOT,NBA,PF,75,52,17.5,3.3,6.3,.518,0.0,0.0,.000,3.3,6.3,.519,.518,1.2,1.5,.759,1.7,2.8,4.5,0.4,0.3,0.3,1.3,2.5,7.7
1992-93,24,MIL,NBA,PF,12,0,13.3,2.2,4.7,.464,0.0,0.1,.000,2.2,4.6,.473,.464,1.0,1.3,.750,1.0,2.1,3.1,0.8,0.5,0.3,1.1,2.0,5.3
1992-93,24,BOS,NBA,PF,63,52,18.3,3.5,6.6,.525,0.0,0.0,,3.5,6.6,.525,.525,1.2,1.6,.760,1.8,3.0,4.8,0.3,0.3,0.3,1.3,2.6,8.2
1993-94,25,BOS,NBA,PF,13,0,12.2,1.8,4.2,.436,0.0,0.0,,1.8,4.2,.436,.436,1.2,1.9,.640,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9
1994-95,26,TOT,NBA,PF,54,0,9.4,2.2,4.3,.511,0.0,0.0,.000,2.2,4.2,.515,.511,0.4,0.6,.571,0.7,1.4,2.1,0.2,0.3,0.2,0.8,1.9,4.7
1994-95,26,SAC,NBA,PF,51,0,9.3,2.3,4.3,.532,0.0,0.0,.000,2.3,4.3,.537,.532,0.4,0.7,.571,0.7,1.4,2.1,0.3,0.3,0.2,0.8,2.0,5.0
1994-95,26,PHI,NBA,PF,3,0,10.0,0.3,3.7,.091,0.0,0.0,,0.3,3.7,.091,.091,0.0,0.0,,1.0,1.7,2.7,0.0,0.0,0.0,1.7,0.7,0.7
Career,,,NBA,,256,53,12.5,2.4,4.8,.502,0.0,0.0,.000,2.4,4.8,.503,.502,0.9,1.3,.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,POR,NBA,,114,1,10.7,2.0,4.2,.488,0.0,0.0,,2.0,4.2,.488,.488,0.9,1.3,.697,0.9,2.1,3.1,0.4,0.3,0.2,0.8,1.5,5.0
2 seasons,,BOS,NBA,,76,52,17.3,3.2,6.2,.515,0.0,0.0,,3.2,6.2,.515,.515,1.2,1.6,.736,1.7,2.9,4.6,0.3,0.3,0.3,1.3,2.4,7.6
1 season,,SAC,NBA,,51,0,9.3,2.3,4.3,.532,0.0,0.0,.000,2.3,4.3,.537,.532,0.4,0.7,.571,0.7,1.4,2.1,0.3,0.3,0.2,0.8,2.0,5.0
1 season,,MIL,NBA,,12,0,13.3,2.2,4.7,.464,0.0,0.1,.000,2.2,4.6,.473,.464,1.0,1.3,.750,1.0,2.1,3.1,0.8,0.5,0.3,1.1,2.0,5.3
1 season,,PHI,NBA,,3,0,10.0,0.3,3.7,.091,0.0,0.0,,0.3,3.7,.091,.091,0.0,0.0,,1.0,1.7,2.7,0.0,0.0,0.0,1.7,0.7,0.7
