Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	
1968-69	22	TOT	NBA	C	49		19.3	2.9	8.0	.369	1.4	2.3	.619			8.3	0.8				2.3	7.3	
1968-69	22	CIN	NBA		20		5.4	0.9	2.2	.419	0.1	0.4	.286			1.6	0.2				0.9	1.9	
1968-69	22	MIL	NBA	C	29		28.9	4.3	12.0	.363	2.3	3.7	.642			13.0	1.1				3.4	11.0	
1969-70	23	MIL	NBA	PF	80		20.5	3.0	6.8	.434	1.5	2.3	.643			7.5	0.8				2.1	7.4	
1970-71	24	SEA	NBA	C	61		20.9	4.3	9.8	.441	2.3	3.1	.739			7.7	0.7				1.9	10.9	
1971-72	25	SEA	NBA	C	58		30.7	5.6	12.9	.429	2.7	3.7	.720			11.3	2.1				3.1	13.8	
1972-73	26	HOU	NBA	C	48		18.8	3.1	7.8	.397	2.5	3.4	.735			6.3	1.1				2.3	8.7	
1973-74	27	HOU	NBA	C	79		31.1	4.3	9.3	.459	2.4	3.0	.804	3.3	8.4	11.7	2.1	1.0	1.3		2.9	10.9	
1974-75	28	HOU	NBA	C	65		22.3	3.6	8.3	.437	2.4	3.1	.783	2.4	5.1	7.5	1.3	0.6	1.1		2.0	9.7	
1975-76	29	SEA	NBA	C	27		8.3	1.3	2.8	.467	0.6	1.1	.552	1.1	1.7	2.8	0.6	0.3	0.6		1.1	3.2	
1976-77	30	BUF	NBA	C	22		8.9	1.1	3.4	.338	1.5	2.0	.767	1.9	2.2	4.1	0.3	0.1	0.4		1.0	3.8	
1977-78	31	TOT	NBA	C,PF	16		9.9	1.4	3.8	.383	1.1	1.4	.739	1.2	1.9	3.1	0.6	0.2	0.2	0.9	1.8	3.9	
1977-78	31	BOS	NBA	C	2		12.0	1.5	6.5	.231	1.0	1.5	.667	3.0	4.5	7.5	1.5	0.5	0.5	1.5	2.0	4.0	
1977-78	31	HOU	NBA	PF	14		9.6	1.4	3.4	.426	1.1	1.4	.750	0.9	1.6	2.5	0.5	0.1	0.1	0.8	1.8	3.9	
Career			NBA		505		21.8	3.5	8.2	.428	2.0	2.8	.728	2.4	5.4	8.0	1.2	0.6	1.0	0.9	2.2	9.0	
																							
4 seasons		HOU	NBA		206		24.0	3.6	8.2	.437	2.4	3.0	.778	2.7	6.5	8.5	1.5	0.8	1.1	0.8	2.4	9.5	
3 seasons		SEA	NBA		146		22.5	4.2	9.7	.436	2.1	3.0	.717	1.1	1.7	8.2	1.2	0.3	0.6		2.2	10.6	
2 seasons		MIL	NBA		109		22.7	3.3	8.2	.406	1.7	2.7	.643			9.0	0.9				2.4	8.4	
1 season		BUF	NBA		22		8.9	1.1	3.4	.338	1.5	2.0	.767	1.9	2.2	4.1	0.3	0.1	0.4		1.0	3.8	
1 season		CIN	NBA		20		5.4	0.9	2.2	.419	0.1	0.4	.286			1.6	0.2				0.9	1.9	
1 season		BOS	NBA		2		12.0	1.5	6.5	.231	1.0	1.5	.667	3.0	4.5	7.5	1.5	0.5	0.5	1.5	2.0	4.0	
