ID Year,Year,ID Workforce Status,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,Sex,ID Sex
2014,"2014","true","true",21192,17411.190751297883,513.2314526416908,549742,18166.71757543983,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2015,"2015","true","true",21877,17519.807151457324,518.9865493810746,572247,18533.945277178147,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",22440,20999.608415549803,664.8392265879967,585345,18746.556956179076,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2016,"2016","true","true",22683,18041.934950074225,537.6312063500757,590777,18831.007443872415,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2017,"2017","true","true",23175,19077.411316106627,605.4351562451673,602398,19015.236835804506,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2018,"2018","true","true",23508,19975.67268190271,649.1921582417971,608732,19115.094687988723,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2019,"2019","true","true",23794,20646.044070822747,636.956323713307,612741,19178.254696596196,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",55551,16659.34623366508,329.8457401717748,1358363,28482.858404137023,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2014,"2014","true","true",58290,13657.904052619711,252.96861345837962,1392482,28823.007957575268,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2015,"2015","true","true",58771,13779.600013713727,253.23143080879808,1414641,29051.56636354859,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2019,"2019","true","true",59356,16291.614440743633,312.217901376024,1416506,29079.575722249,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2017,"2017","true","true",59159,14929.335479463223,286.9808990312114,1422716,29138.497266345068,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2018,"2018","true","true",59426,15686.03985655968,302.7175914583903,1422752,29140.920129564143,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2016,"2016","true","true",59070,14221.480312389873,266.7076262440245,1427319,29182.526348801803,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2014,"2014","true","true",21455,13640.754122226153,474.9500109563041,494575,17234.604785209267,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
